in s,C1 in V
-1.2340E-07,1.562065371312E-02
-1.2320E-07,1.467510704882E-02
-1.2300E-07,1.533380775712E-02
-1.2280E-07,1.642886615358E-02
-1.2260E-07,1.464653966017E-02
-1.2240E-07,1.416075342335E-02
-1.2220E-07,1.462535859086E-02
-1.2200E-07,1.487915423699E-02
-1.2180E-07,1.568468679674E-02
-1.2160E-07,1.623095638119E-02
-1.2140E-07,1.592755663209E-02
-1.2120E-07,1.628580848686E-02
-1.2100E-07,1.709839255549E-02
-1.2080E-07,1.677424247377E-02
-1.2060E-07,1.632781765424E-02
-1.2040E-07,1.598915430717E-02
-1.2020E-07,1.592191188596E-02
-1.2000E-07,1.637644479983E-02
-1.1980E-07,1.585295303725E-02
-1.1960E-07,1.579096467234E-02
-1.1940E-07,1.601400944404E-02
-1.1920E-07,1.603048547171E-02
-1.1900E-07,1.630939935334E-02
-1.1880E-07,1.590245050378E-02
-1.1860E-07,1.456560493447E-02
-1.1840E-07,1.473171935417E-02
-1.1820E-07,1.511007753201E-02
-1.1800E-07,1.605482838117E-02
-1.1780E-07,1.552349208854E-02
-1.1760E-07,1.567050089128E-02
-1.1740E-07,1.649140073918E-02
-1.1720E-07,1.692072973587E-02
-1.1700E-07,1.611145605333E-02
-1.1680E-07,1.546368394978E-02
-1.1660E-07,1.459292015992E-02
-1.1640E-07,1.470183647238E-02
-1.1620E-07,1.500981087796E-02
-1.1600E-07,1.410162887536E-02
-1.1580E-07,1.492629638873E-02
-1.1560E-07,1.634571953677E-02
-1.1540E-07,1.707321238704E-02
-1.1520E-07,1.624844242819E-02
-1.1500E-07,1.637334582396E-02
-1.1480E-07,1.697468264960E-02
-1.1460E-07,1.714316030033E-02
-1.1440E-07,1.653114306740E-02
-1.1420E-07,1.534900275059E-02
-1.1400E-07,1.564986697398E-02
-1.1380E-07,1.570821200497E-02
-1.1360E-07,1.536612837575E-02
-1.1340E-07,1.480217250995E-02
-1.1320E-07,1.616430767812E-02
-1.1300E-07,1.630908503197E-02
