in s,C1 in V
-1.2780E-07,4.54636766110E-02
-1.2760E-07,4.88913651090E-02
-1.2740E-07,4.94007682893E-02
-1.2720E-07,4.83265668619E-02
-1.2700E-07,4.43955823313E-02
-1.2680E-07,4.84948405530E-02
-1.2660E-07,4.54630875494E-02
-1.2640E-07,4.27110665943E-02
-1.2620E-07,4.37939991709E-02
-1.2600E-07,4.70290319528E-02
-1.2580E-07,4.69604447018E-02
-1.2560E-07,4.34501176234E-02
-1.2540E-07,4.44882582407E-02
-1.2520E-07,4.54024211969E-02
-1.2500E-07,4.65311073232E-02
-1.2480E-07,4.46820082609E-02
-1.2460E-07,4.41576643381E-02
-1.2440E-07,4.11893507000E-02
-1.2420E-07,4.31861877907E-02
-1.2400E-07,4.29461417254E-02
-1.2380E-07,4.19639666099E-02
-1.2360E-07,4.24347385298E-02
-1.2340E-07,4.80139730964E-02
-1.2320E-07,4.88194926176E-02
-1.2300E-07,4.68154307920E-02
-1.2280E-07,4.44859811570E-02
-1.2260E-07,4.40609441604E-02
-1.2240E-07,4.42070593592E-02
-1.2220E-07,4.93689938914E-02
-1.2200E-07,5.09078880306E-02
-1.2180E-07,4.77553285193E-02
-1.2160E-07,4.94991345797E-02
-1.2140E-07,5.05574360024E-02
-1.2120E-07,4.69746217597E-02
-1.2100E-07,4.29612850305E-02
-1.2080E-07,4.29089167621E-02
-1.2060E-07,3.82012022193E-02
-1.2040E-07,4.06218655873E-02
-1.2020E-07,4.28088508081E-02
-1.2000E-07,4.46786229033E-02
-1.1980E-07,4.85267872456E-02
-1.1960E-07,4.73318864126E-02
-1.1940E-07,4.62049884256E-02
-1.1920E-07,4.36719586607E-02
-1.1900E-07,4.37078238931E-02
-1.1880E-07,4.27478026133E-02
-1.1860E-07,4.39630109351E-02
-1.1840E-07,4.14898884948E-02
-1.1820E-07,4.18681474868E-02
-1.1800E-07,4.54442166258E-02
-1.1780E-07,4.98808464501E-02
-1.1760E-07,4.31483015884E-02
-1.1740E-07,3.84512786288E-02
-1.1720E-07,4.29883935023E-02
-1.1700E-07,4.55828230362E-02
-1.1680E-07,4.18368503917E-02
-1.1660E-07,3.93902822863E-02
-1.1640E-07,4.20613992494E-02
-1.1620E-07,4.55578286666E-02
-1.1600E-07,4.39904081169E-02
-1.1580E-07,4.53303554561E-02
-1.1560E-07,4.58517005201E-02
-1.1540E-07,4.28339406382E-02
-1.1520E-07,4.12091389764E-02
-1.1500E-07,3.99719840381E-02
-1.1480E-07,4.22340035904E-02
-1.1460E-07,4.08443329390E-02
-1.1440E-07,3.94900455605E-02
-1.1420E-07,3.98841766175E-02
-1.1400E-07,4.58432836924E-02
-1.1380E-07,5.03257811535E-02
-1.1360E-07,4.96315127704E-02
-1.1340E-07,4.28534239065E-02
-1.1320E-07,3.97323780227E-02
-1.1300E-07,4.38577551860E-02
-1.1280E-07,4.36297837179E-02
-1.1260E-07,4.28160848562E-02
-1.1240E-07,4.13697339129E-02
-1.1220E-07,4.28942437749E-02
-1.1200E-07,4.56565558445E-02
-1.1180E-07,4.46540290024E-02
-1.1160E-07,4.73968298640E-02
-1.1140E-07,5.07211019751E-02
-1.1120E-07,4.66829897370E-02
-1.1100E-07,4.19183806982E-02
-1.1080E-07,4.20112265740E-02
-1.1060E-07,3.92958019394E-02
-1.1040E-07,3.95449144300E-02
-1.1020E-07,4.76264195051E-02
-1.1000E-07,4.54272409435E-02
-1.0980E-07,4.45973417256E-02
-1.0960E-07,4.83938269783E-02
-1.0940E-07,4.68540573958E-02
-1.0920E-07,4.41526468378E-02
-1.0900E-07,4.14067702834E-02
-1.0880E-07,4.10671541933E-02
-1.0860E-07,4.20547705609E-02
-1.0840E-07,4.30440586526E-02
-1.0820E-07,4.89827767480E-02
-1.0800E-07,4.90704258438E-02
-1.0780E-07,4.62720529642E-02
-1.0760E-07,4.59032003302E-02
-1.0740E-07,4.33954420034E-02
-1.0720E-07,4.67393044848E-02
-1.0700E-07,4.58005383145E-02
-1.0680E-07,4.52559777070E-02
-1.0660E-07,4.68513658736E-02
-1.0640E-07,4.71723881084E-02
-1.0620E-07,4.36476883944E-02
-1.0600E-07,4.34933822136E-02
-1.0580E-07,4.25801715348E-02
-1.0560E-07,4.32234919164E-02
-1.0540E-07,4.37467787880E-02
-1.0520E-07,4.30849390570E-02
-1.0500E-07,4.32045232039E-02
-1.0480E-07,4.57459628116E-02
-1.0460E-07,4.82428316493E-02
-1.0440E-07,4.95053185616E-02
-1.0420E-07,4.64700311888E-02
-1.0400E-07,4.12641894538E-02
-1.0380E-07,4.28627534304E-02
-1.0360E-07,4.59665814880E-02
