in s,C1 in V
-1.1580E-07,3.83658716921E-02
-1.1560E-07,3.81822055671E-02
-1.1540E-07,3.78538934048E-02
-1.1520E-07,3.78715116996E-02
-1.1500E-07,3.66330994759E-02
-1.1480E-07,3.73926558997E-02
-1.1460E-07,3.76748443115E-02
-1.1440E-07,3.75764500815E-02
-1.1420E-07,3.74501394574E-02
-1.1400E-07,3.72680589091E-02
-1.1380E-07,3.69792930316E-02
-1.1360E-07,3.73020731378E-02
-1.1340E-07,3.70863695163E-02
-1.1320E-07,3.76542201731E-02
-1.1300E-07,3.77976112533E-02
-1.1280E-07,3.85705670807E-02
-1.1260E-07,3.83256595116E-02
-1.1240E-07,3.91000146512E-02
-1.1220E-07,3.91792515758E-02
-1.1200E-07,3.75324357767E-02
-1.1180E-07,3.80772874225E-02
-1.1160E-07,3.78969391342E-02
-1.1140E-07,3.70183666702E-02
-1.1120E-07,3.81683358457E-02
-1.1100E-07,3.76915010158E-02
-1.1080E-07,3.68660046253E-02
-1.1060E-07,3.75707410742E-02
-1.1040E-07,3.85795566719E-02
-1.1020E-07,3.84153086226E-02
-1.1000E-07,3.79609023686E-02
-1.0980E-07,3.70922834147E-02
-1.0960E-07,3.64918131847E-02
-1.0940E-07,3.66705898661E-02
-1.0920E-07,3.70448697824E-02
-1.0900E-07,3.74785773922E-02
-1.0880E-07,3.78915956709E-02
-1.0860E-07,3.72674791608E-02
-1.0840E-07,3.72448596638E-02
-1.0820E-07,3.73983206693E-02
-1.0800E-07,3.75810997095E-02
-1.0780E-07,3.74221462291E-02
-1.0760E-07,3.70948631782E-02
-1.0740E-07,3.76608768012E-02
-1.0720E-07,3.77199436072E-02
-1.0700E-07,3.77711034846E-02
-1.0680E-07,3.82248834241E-02
-1.0660E-07,3.80559228826E-02
-1.0640E-07,3.82836615201E-02
-1.0620E-07,3.87965408619E-02
-1.0600E-07,3.79311768804E-02
-1.0580E-07,3.79390512127E-02
-1.0560E-07,3.80400019232E-02
-1.0540E-07,3.77775063273E-02
-1.0520E-07,3.75653091352E-02
-1.0500E-07,3.82616683375E-02
-1.0480E-07,3.77320694271E-02
-1.0460E-07,3.73418708798E-02
-1.0440E-07,3.75720286276E-02
-1.0420E-07,3.78893628251E-02
-1.0400E-07,3.78734092694E-02
-1.0380E-07,3.68761001620E-02
-1.0360E-07,3.73029695358E-02
-1.0340E-07,3.83177595679E-02
-1.0320E-07,3.71671640780E-02
-1.0300E-07,3.74080227222E-02
-1.0280E-07,3.82471257355E-02
-1.0260E-07,3.81671879906E-02
-1.0240E-07,3.88019378763E-02
-1.0220E-07,3.87106379960E-02
-1.0200E-07,3.80675364751E-02
-1.0180E-07,3.67093980778E-02
-1.0160E-07,3.65852644201E-02
-1.0140E-07,3.62630826887E-02
-1.0120E-07,3.80243836436E-02
-1.0100E-07,3.93020953517E-02
-1.0080E-07,3.90079301316E-02
-1.0060E-07,3.89053146820E-02
-1.0040E-07,3.84326871019E-02
-1.0020E-07,3.90553926583E-02
-1.0000E-07,3.85653609876E-02
-9.9800E-08,3.74901001807E-02
-9.9600E-08,3.72567060869E-02
-9.9400E-08,3.69478050154E-02
-9.9200E-08,3.64304390270E-02
-9.9000E-08,3.69294067379E-02
-9.8800E-08,3.79440943245E-02
-9.8600E-08,3.81731298286E-02
-9.8400E-08,3.71522419620E-02
-9.8200E-08,3.75293880235E-02
-9.8000E-08,3.81226172205E-02
-9.7800E-08,3.82517753635E-02
-9.7600E-08,3.77265350427E-02
-9.7400E-08,3.71316364501E-02
-9.7200E-08,3.74797834549E-02
-9.7000E-08,3.70480060112E-02
-9.6800E-08,3.77080692444E-02
-9.6600E-08,3.75792789739E-02
-9.6400E-08,3.80361602176E-02
-9.6200E-08,3.77099318895E-02
-9.6000E-08,3.84343425278E-02
-9.5800E-08,3.85541664902E-02
-9.5600E-08,3.81584428716E-02
-9.5400E-08,3.77990711015E-02
-9.5200E-08,3.74906426761E-02
-9.5000E-08,3.80333778914E-02
-9.4800E-08,3.86259900872E-02
-9.4600E-08,3.86098758783E-02
-9.4400E-08,3.81641984452E-02
-9.4200E-08,3.75800636131E-02
